stamp,issue_local,target,n,coverage,base_rate,brier,roc_auc,tp,fp,fn,tn,pod,far,csi,provisional_share,scored_at
20260811_2200,2026-08-11 22:00:00,h1_0.1mm,833,1.0,0.3794,0.2403,0.6336,133,100,183,417,0.4209,0.4292,0.3197,1.0,2026-08-30 16:39
20260811_2200,2026-08-11 22:00:00,h1_1.0mm,833,1.0,0.0888,0.0627,0.7681,40,51,34,708,0.5405,0.5604,0.32,1.0,2026-08-30 16:39
20260811_2200,2026-08-11 22:00:00,h3_0.1mm,833,1.0,0.593,0.2522,0.6598,276,111,218,228,0.5587,0.2868,0.4562,1.0,2026-08-30 16:39
20260811_2200,2026-08-11 22:00:00,h3_1.0mm,833,1.0,0.1621,0.116,0.6986,63,86,72,612,0.4667,0.5772,0.2851,1.0,2026-08-30 16:39
20260811_2200,2026-08-11 22:00:00,h6_0.1mm,833,1.0,0.7623,0.2417,0.6413,462,110,173,88,0.7276,0.1923,0.6201,1.0,2026-08-30 16:39
20260811_2200,2026-08-11 22:00:00,h6_1.0mm,833,1.0,0.2545,0.1806,0.6257,86,95,126,526,0.4057,0.5249,0.2801,1.0,2026-08-30 16:39
20260829_1400,2026-08-29 14:00:00,h1_0.1mm,833,1.0,0.6399,0.2051,0.7422,437,163,96,137,0.8199,0.2717,0.6279,1.0,2026-08-31 09:09
20260829_1400,2026-08-29 14:00:00,h1_1.0mm,833,1.0,0.2389,0.1638,0.7248,130,195,69,439,0.6533,0.6,0.3299,1.0,2026-08-31 09:09
20260829_1400,2026-08-29 14:00:00,h3_0.1mm,833,1.0,0.8271,0.1452,0.7143,664,143,25,1,0.9637,0.1772,0.7981,1.0,2026-08-31 09:09
20260829_1400,2026-08-29 14:00:00,h3_1.0mm,833,1.0,0.4886,0.2353,0.6721,301,224,106,202,0.7396,0.4267,0.477,1.0,2026-08-31 09:09
20260829_1400,2026-08-29 14:00:00,h6_0.1mm,833,1.0,0.928,0.0718,0.7043,773,60,0,0,1.0,0.072,0.928,1.0,2026-08-31 09:09
20260829_1400,2026-08-29 14:00:00,h6_1.0mm,833,1.0,0.6291,0.2276,0.6358,472,263,52,46,0.9008,0.3578,0.5997,1.0,2026-08-31 09:09
20260829_1500,2026-08-29 15:00:00,h1_0.1mm,833,1.0,0.6267,0.2488,0.6279,386,201,136,110,0.7395,0.3424,0.5339,1.0,2026-08-31 09:09
20260829_1500,2026-08-29 15:00:00,h1_1.0mm,833,1.0,0.2941,0.1982,0.6585,131,184,114,404,0.5347,0.5841,0.3054,1.0,2026-08-31 09:09
20260829_1500,2026-08-29 15:00:00,h3_0.1mm,833,1.0,0.7491,0.1952,0.6384,582,181,42,28,0.9327,0.2372,0.723,1.0,2026-08-31 09:09
20260829_1500,2026-08-29 15:00:00,h3_1.0mm,833,1.0,0.4262,0.2317,0.6422,261,288,94,190,0.7352,0.5246,0.4059,1.0,2026-08-31 09:09
20260829_1500,2026-08-29 15:00:00,h6_0.1mm,833,1.0,0.9136,0.1182,0.5371,749,72,12,0,0.9842,0.0877,0.8992,1.0,2026-08-31 09:09
20260829_1500,2026-08-29 15:00:00,h6_1.0mm,833,1.0,0.6194,0.256,0.6004,392,224,124,93,0.7597,0.3636,0.5297,1.0,2026-08-31 09:09
20260829_1600,2026-08-29 16:00:00,h1_0.1mm,833,1.0,0.5522,0.2331,0.6633,368,275,92,98,0.8,0.4277,0.5007,1.0,2026-08-31 09:09
20260829_1600,2026-08-29 16:00:00,h1_1.0mm,833,1.0,0.2557,0.1687,0.697,143,201,70,419,0.6714,0.5843,0.3454,1.0,2026-08-31 09:09
20260829_1600,2026-08-29 16:00:00,h3_0.1mm,833,1.0,0.7011,0.2003,0.6646,568,234,16,15,0.9726,0.2918,0.6944,1.0,2026-08-31 09:09
20260829_1600,2026-08-29 16:00:00,h3_1.0mm,833,1.0,0.3878,0.2156,0.6663,264,378,59,132,0.8173,0.5888,0.3766,1.0,2026-08-31 09:09
20260829_1600,2026-08-29 16:00:00,h6_0.1mm,833,1.0,0.8908,0.1102,0.6096,740,91,2,0,0.9973,0.1095,0.8884,1.0,2026-08-31 09:09
20260829_1600,2026-08-29 16:00:00,h6_1.0mm,833,1.0,0.5786,0.2317,0.6561,413,273,69,78,0.8568,0.398,0.547,1.0,2026-08-31 09:09
20260829_1700,2026-08-29 17:00:00,h1_0.1mm,833,1.0,0.5354,0.2138,0.7251,417,315,29,72,0.935,0.4303,0.548,1.0,2026-08-31 09:09
20260829_1700,2026-08-29 17:00:00,h1_1.0mm,833,1.0,0.2569,0.1678,0.7319,156,227,58,392,0.729,0.5927,0.3537,1.0,2026-08-31 09:09
20260829_1700,2026-08-29 17:00:00,h3_0.1mm,833,1.0,0.7791,0.1659,0.6763,639,178,10,6,0.9846,0.2179,0.7727,1.0,2026-08-31 09:09
20260829_1700,2026-08-29 17:00:00,h3_1.0mm,833,1.0,0.4574,0.2238,0.689,331,288,50,164,0.8688,0.4653,0.4948,1.0,2026-08-31 09:09
20260829_1700,2026-08-29 17:00:00,h6_0.1mm,833,1.0,0.9184,0.0868,0.631,764,68,1,0,0.9987,0.0817,0.9172,1.0,2026-08-31 09:09
20260829_1700,2026-08-29 17:00:00,h6_1.0mm,833,1.0,0.6098,0.2172,0.7146,454,218,54,107,0.8937,0.3244,0.6253,1.0,2026-08-31 09:09
20260829_1800,2026-08-29 18:00:00,h1_0.1mm,833,1.0,0.5858,0.1975,0.7591,439,216,49,129,0.8996,0.3298,0.6236,1.0,2026-08-31 09:09
20260829_1800,2026-08-29 18:00:00,h1_1.0mm,833,1.0,0.3145,0.1699,0.8053,214,185,48,386,0.8168,0.4637,0.4787,1.0,2026-08-31 09:09
20260829_1800,2026-08-29 18:00:00,h3_0.1mm,833,1.0,0.8175,0.1526,0.7082,655,143,26,9,0.9618,0.1792,0.7949,1.0,2026-08-31 09:09
20260829_1800,2026-08-29 18:00:00,h3_1.0mm,833,1.0,0.4934,0.2184,0.74,347,220,64,202,0.8443,0.388,0.5499,1.0,2026-08-31 09:09
20260829_1800,2026-08-29 18:00:00,h6_0.1mm,833,1.0,0.9292,0.0823,0.6553,772,59,2,0,0.9974,0.071,0.9268,1.0,2026-08-31 09:09
